feature,importance,model
jours_depuis_maintenance,0.26128232271524615,Ensemble
erreurs_lecteur_carte,0.16183472557665557,Ensemble
score_negligence,0.11865004744660794,Ensemble
age_annees,0.11101637110571697,Ensemble
temperature_interne_roll7_max,0.09672636972349305,Ensemble
mois_sin,0.09443917555618112,Ensemble
temperature_interne_tendance_7j,0.09317758544971215,Ensemble
risque_materiel,0.09167151597263562,Ensemble
taux_erreur_tx_roll7_mean,0.0716374518324166,Ensemble
erreurs_distributeur,0.06860205057052575,Ensemble
nb_transactions_lag7,0.0667746302530286,Ensemble
nb_transactions,0.0628058526537064,Ensemble
latence_ms_roll7_std,0.06123441530282773,Ensemble
erreurs_distributeur_roll7_max,0.06093341863093786,Ensemble
taux_erreur_tx,0.06001113067276294,Ensemble
latence_ms_roll7_max,0.05763611251371002,Ensemble
temperature_interne,0.05404892024650623,Ensemble
erreurs_lecteur_carte_roll14_std,0.049777201819663795,Ensemble
est_ete,0.049044891278874826,Ensemble
erreurs_distributeur_roll14_mean,0.04826935284693927,Ensemble
jour_sin,0.04789168578680072,Ensemble
erreurs_distributeur_roll7_mean,0.04757590591459509,Ensemble
temperature_interne_roll7_mean,0.046166682758389206,Ensemble
trimestre,0.04601281975249599,Ensemble
temperature_interne_roll7_std,0.044349136811738,Ensemble
score_surcharge,0.043982398070677275,Ensemble
nb_deconnexions_roll7_mean,0.041485426763328635,Ensemble
erreurs_lecteur_carte_roll7_max,0.041003191085736634,Ensemble
erreurs_distributeur_roll7_std,0.040973477294196245,Ensemble
latence_ms_roll14_std,0.04001057186038098,Ensemble
jour_cos,0.03996092764499368,Ensemble
ville_risk_encoding,0.039028244781347234,Ensemble
nb_deconnexions_roll14_max,0.03875662954679232,Ensemble
erreurs_distributeur_roll14_max,0.03820926347607469,Ensemble
erreurs_distributeur_accel_2nd,0.03696960473355338,Ensemble
erreurs_lecteur_carte_roll14_max,0.035806831092821845,Ensemble
temperature_interne_lag3,0.033080351068444536,Ensemble
taux_erreur_tx_tendance_7j,0.03287385979649789,Ensemble
erreurs_distributeur_lag7,0.031079314408455166,Ensemble
taux_erreur_tx_roll7_std,0.03103016470869509,Ensemble
temperature_interne_roll14_mean,0.030903495107603988,Ensemble
taux_erreur_tx_roll14_max,0.03014525043961053,Ensemble
nb_deconnexions_roll7_std,0.02821769392021447,Ensemble
taux_erreur_tx_lag7,0.028154447643456648,Ensemble
taux_erreur_tx_roll14_mean,0.02789272646054036,Ensemble
environnement_Site_Isole,0.027598486229303366,Ensemble
nb_deconnexions_roll14_mean,0.027370479895648673,Ensemble
erreurs_distributeur_roll14_std,0.027067283117098176,Ensemble
erreurs_lecteur_acceleration,0.026827313569256033,Ensemble
niveau_billets_pct,0.02632441258074435,Ensemble
type_gab_Wincor,0.026322305341999003,Ensemble
temperature_interne_lag1,0.026184376120224923,Ensemble
nb_transactions_roll7_std,0.025577826915525518,Ensemble
latence_ms,0.02352940199243978,Ensemble
mois_cos,0.023302319258162965,Ensemble
nb_transactions_roll14_max,0.022038214244923183,Ensemble
ratio_erreurs_tx,0.01986819870190651,Ensemble
latence_ms_roll14_mean,0.019730461745660337,Ensemble
latence_ms_roll14_max,0.01914977922265665,Ensemble
erreurs_lecteur_carte_roll7_mean,0.019047160732301286,Ensemble
stress_thermique,0.018915397916366664,Ensemble
nb_deconnexions_roll7_max,0.018797511691611698,Ensemble
latence_ms_lag3,0.018588850445704908,Ensemble
erreurs_lecteur_carte_roll14_mean,0.018491000547314673,Ensemble
nb_transactions_roll14_std,0.01772510540502508,Ensemble
taux_erreur_tx_roll7_max,0.017176814924482538,Ensemble
temperature_interne_lag7,0.01683078945201484,Ensemble
type_gab_Hyosung,0.015743216116893267,Ensemble
temperature_interne_roll14_max,0.015701259017412334,Ensemble
erreurs_lecteur_carte_lag3,0.015306603859740935,Ensemble
erreurs_lecteur_carte_tendance_7j,0.014993381313819616,Ensemble
erreurs_distributeur_lag3,0.014944657200052627,Ensemble
temperature_interne_roll14_std,0.01452459737564919,Ensemble
erreurs_lecteur_carte_lag1,0.013538009779357759,Ensemble
environnement_Agence_Interieure,0.013423327152623,Ensemble
est_weekend,0.0132302573620571,Ensemble
type_gab_Diebold,0.012751376034977594,Ensemble
environnement_Centre_Commercial,0.01222558968788901,Ensemble
nb_deconnexions_lag3,0.012208664052207708,Ensemble
nb_deconnexions,0.012110154479512284,Ensemble
nb_transactions_roll7_mean,0.011778862072060359,Ensemble
latence_ms_lag7,0.011214556001051394,Ensemble
score_connectivite,0.011166063619838438,Ensemble
taux_erreur_tx_roll14_std,0.010535028725408404,Ensemble
erreurs_lecteur_carte_lag7,0.010498806330874086,Ensemble
latence_ms_roll7_mean,0.010352043646434763,Ensemble
nb_deconnexions_roll14_std,0.009154112131934882,Ensemble
erreurs_lecteur_carte_accel_2nd,0.009069922736176976,Ensemble
latence_ms_lag1,0.008950578120695045,Ensemble
nb_deconnexions_lag7,0.008329113212380305,Ensemble
temperature_interne_accel_2nd,0.008027250164242558,Ensemble
environnement_Agence_Facade,0.007146072411382425,Ensemble
nb_transactions_lag1,0.00665232025253796,Ensemble
erreurs_distributeur_tendance_7j,0.006615039866002468,Ensemble
est_fin_mois,0.006473110108281401,Ensemble
nb_transactions_lag3,0.005335391305205894,Ensemble
taux_erreur_tx_lag3,0.004587668180114252,Ensemble
nb_deconnexions_lag1,0.004475245830751234,Ensemble
taux_erreur_tx_lag1,0.003659121185368606,Ensemble
erreurs_distributeur_lag1,0.002516333976139668,Ensemble
nb_transactions_roll14_mean,0.0020286887197751274,Ensemble
erreurs_lecteur_carte_roll7_std,0.0020180589533937564,Ensemble
nb_transactions_roll7_max,0.0019887739562351784,Ensemble
ratio_temperature_saison,0.0012629559679531702,Ensemble
type_gab_NCR,0.0005171258195957428,Ensemble
